Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BROWN (59203),WEB,2,,2,2,2,,2,10,,,,,,,,,,,,,,,,,,
,CHESTNUT (59214),Ash,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,3,3,2,,,10,,,,,,,,,,,,,,,,,,
,LILAC (54953),Ash,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,3,,6,4,5,,4,22,,,,,,,,,,,,,,,,,,
,MINK (59225),WEB,2,,2,1,2,,2,9,,,,,,,,,,,,,,,,,,
,NAVY (59236),WEB,6,,10,10,10,,6,42,,,,,,,,,,,,,,,,,,
,TAN (59247),Ash,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,4,3,2,,0,9,,,,,,,,,,,,,,,,,,
,Total,,15,,27,23,23,,14,102,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
RIDER,,,,LADIES W/COAT,,,,W/COAT,,,,NO SEASON,,,,,ladies gilet,,,,,,,,,,0.00,149.95
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,BROWN (42120),,1,,0,0,0,,0,0,0,,1,,,,,,,,,,,,,,,
,,ITOH,0,,1,0,0,,0,0,0,,1,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,RUST (42108),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,0,,1,0,1,,3,0,0,,5,,,,,,,,,,,,,,,
,Total,,1,,2,0,1,,3,0,0,,7,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
S/SKIN BOOT BELT,,,,LADIES SHOES,,,,SHOES,,,,13SS,,,,,"S/SKIN BOOT WITH BELT 8""",,,,,,,,,,0.00,99.99
,,,13.5,,4,5,6,,7,8,Total,,,,,,,,,,,,,,,,,
,BLACK (40874),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
,,WEB,2,,0,0,0,,0,0,2,,,,,,,,,,,,,,,,,
,TAN (40389),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,8,,0,0,0,,0,0,8,,,,,,,,,,,,,,,,,
,Total,,10,,0,0,0,,0,0,10,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
SHEEPSKIN SOCK,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,sock,,,,,,,,,,0.00,59.99
,,,3/4,,5/6,7/8,Total,,,,,,,,,,,,,,,,,,,,,
,BEIGE (42004),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,0,2,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,0,2,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
SOPHIE,,,,ACCESSORIES,,,,SHOES,,,,NO SEASON,,,,,ladies sheepskin slippers,,,,,,,,,,0.00,99.99
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,NAVY (44653),,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,
,,Ash,,,,,0,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,1,0,,2,7,,,,,,,,,,,,,,,,,,
,TAN (44642),,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,Ash,,,,,0,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,2,2,,3,11,,,,,,,,,,,,,,,,,,
,Total,,4,,4,3,2,,5,18,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
suzy slider,,,,ACCESSORIES,,,,SHOES,,,,NO SEASON,,,,,ladies sheepskin slider,,,,,,,,,,0.00,105.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,BEIGE (47561),,0,,,0,,,0,0,,,,,,,,,,,,,,,,,,
,,Ash,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,3,,4,3,3,,2,15,,,,,,,,,,,,,,,,,,
,GRAY (47572),,0,,,,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,5,,3,3,3,,3,17,,,,,,,,,,,,,,,,,,
,LEOPARD (47583),Ash,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,4,0,3,,1,9,,,,,,,,,,,,,,,,,,
,LILAC (53570),Ash,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,1,1,,,,,,,,,,,,,,,,,,
,MINK (47550),,,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,Ash,,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,1,1,,,,,,,,,,,,,,,,,,
,NAVY (47594),Ash,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,2,2,,1,7,,,,,,,,,,,,,,,,,,
,PINK (47605),,0,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,Ash,,,,,0,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,4,2,1,,2,9,,,,,,,,,,,,,,,,,,
,Total,,10,,16,10,12,,11,59,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
TEDDY WATER BOTTLE,,,,ACCESSORIES,,,,HOT WATER BOTTLE,,,,NO SEASON,,,,,water bottle,,,,,,,,,,0.00,89.99
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,CYPRESS (51461),,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,8,,8,,,,,,,,,,,,,,,,,,,,,,,
,DUCK EGG (43650),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,20,,20,,,,,,,,,,,,,,,,,,,,,,,
,GREY (43649),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,24,,24,,,,,,,,,,,,,,,,,,,,,,,
,IVORY (43651),,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,LENEN (51462),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,26,,26,,,,,,,,,,,,,,,,,,,,,,,
,MINK (45327),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,20,,20,,,,,,,,,,,,,,,,,,,,,,,
,OCHRE (51463),WEB,13,,13,,,,,,,,,,,,,,,,,,,,,,,
,ORANGE (51876),,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,12,,12,,,,,,,,,,,,,,,,,,,,,,,
,ROSA (43652),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,WOLF TIP (51464),Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,17,,17,,,,,,,,,,,,,,,,,,,,,,,
,Total,,149,,149,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
tiffany-boots,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,sheepskin boots,,,,,,,,,,0.00,180.00
,,,4,,5,6,7,,8,Total,,,,,,,,,,,,,,,,,,
,CHESTNUT (53665),Ash,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,3,3,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,3,3,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
TLC W/COAT,,,,LADIES W/COAT,,,,W/COAT,,,,NO SEASON,,,,,mix color skin w coat,,,,,,,,,,0.00,389.00
,,,12,,14,16,Total,,,,,,,,,,,,,,,,,,,,,
,MULTI (28443),,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,3,5,9,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,3,5,9,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
unisex-cork-slippers,,,,LADIES SHOES,,,,SHOES,,,,NO SEASON,,,,,unisex slippers,,,,,,,,,,0.00,110.00
,,,4,,5,6,7,,8,9,10,,11,,12,Total,,,,,,,,,,,,
,TAN (53623),Ash,,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,0,,2,0,2,,7,3,0,,0,,1,15,,,,,,,,,,,,
,Total,,0,,2,0,2,,7,3,0,,0,,1,15,,,,,,,,,,,,
FENLAND,,,,,,,,,,,,,,,,,,,,,,,,,,Total Stock 3406,,
FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Belmont,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR6883,,,,,,,,,,26.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57319),WEB,2,,1,0,0,,2,2,7,,,,,,,,,,,,,,,,,
,TAN (57340),WEB,0,,0,1,0,,1,2,4,,,,,,,,,,,,,,,,,
,Total,,2,,1,1,0,,3,4,11,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Chester,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7454,,,,,,,,,,26.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,TAN/TWEED (57088),WEB,2,,2,1,1,,0,0,6,,,,,,,,,,,,,,,,,
,Total,,2,,2,1,1,,0,0,6,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Davies,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR-7462,,,,,,,,,,28.00,70.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57109),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (57130),WEB,1,,2,2,2,,2,2,11,,,,,,,,,,,,,,,,,
,Total,,3,,4,4,4,,4,4,23,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Diego,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7425,,,,,,,,,,24.90,60.00
,,,6,,7,8,9,,10,11,12,,Total,,,,,,,,,,,,,,,
,BLACK (56962),WEB,,,2,2,2,,2,2,2,,12,,,,,,,,,,,,,,,
,TAN (56983),WEB,2,,2,1,2,,1,2,2,,12,,,,,,,,,,,,,,,
,Total,,2,,4,3,4,,3,4,4,,24,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Harbour,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7513,,,,,,,,,,28.00,80.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BROWN (57361),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Balham,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7471,,,,,,,,,,0.00,75.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BRN/CAMEL (57436),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,NAVY (57457),WEB,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
,Total,,4,,4,4,3,,4,4,23,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Brescia,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7485,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK/BURGUNDY (57604),WEB,2,,2,2,0,,2,2,10,,,,,,,,,,,,,,,,,
,NAVY/TAN (57583),WEB,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,TAN/NAVY (57562),,,,,1,,,,,1,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,,,0,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,
,Total,,2,,2,3,0,,3,2,12,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Bronx,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7490,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57856),WEB,2,,2,1,2,,2,2,11,,,,,,,,,,,,,,,,,
,TAN (57814),WEB,2,,2,1,2,,2,1,10,,,,,,,,,,,,,,,,,
,WHITE (57835),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,6,,6,4,6,,6,5,33,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Chicago,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7497,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY/TAN (57898),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN/NAVY (57877),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,4,,4,4,4,,4,4,24,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Dino,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7528,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57667),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (57688),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,4,,4,4,4,,4,4,24,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Doug,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7479,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,ORANGE (57541),WEB,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Douglas,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7427,,,,,,,,,,0.00,70.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (58066),WEB,2,,0,2,2,,2,2,10,,,,,,,,,,,,,,,,,
,BROWN (58108),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,NAVY (58087),WEB,2,,2,2,2,,1,2,11,,,,,,,,,,,,,,,,,
,Total,,6,,4,6,6,,5,6,33,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Edmonton,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7377,,,,,,,,,,0.00,75.00
,,,7,,8,9,10,,11,Total,,,,,,,,,,,,,,,,,,
,TAN (58045),WEB,2,,2,1,2,,2,9,,,,,,,,,,,,,,,,,,
,Total,,2,,2,1,2,,2,9,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Gino,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7459,,,,,,,,,,0.00,70.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57793),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN/NAVY (57772),WEB,2,,2,0,2,,1,2,9,,,,,,,,,,,,,,,,,
,Total,,4,,4,2,4,,3,4,21,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Gomez,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7530,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,TAN/NAVY (57919),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Hamilton,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7448,,,,,,,,,,0.00,65.00
,,,6,,7,8,9,,10,11,12,,Total,,,,,,,,,,,,,,,
,BLACK (57499),WEB,2,,2,2,2,,2,2,2,,14,,,,,,,,,,,,,,,
,NAVY (57478),WEB,2,,2,2,2,,2,2,2,,14,,,,,,,,,,,,,,,
,TAN (57520),WEB,2,,2,2,2,,2,2,2,,14,,,,,,,,,,,,,,,
,Total,,6,,6,6,6,,6,6,6,,42,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Henderson,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7483,,,,,,,,,,0.00,80.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BROWN (58003),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (58024),WEB,0,,0,0,0,,0,1,1,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,2,,2,3,13,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Logan,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7251,,,,,,,,,,0.00,55.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57982),WEB,2,,0,2,0,,1,1,6,,,,,,,,,,,,,,,,,
,TAN (57961),WEB,2,,2,0,2,,2,2,10,,,,,,,,,,,,,,,,,
,Total,,4,,2,2,2,,3,3,16,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Ohio,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7525,,,,,,,,,,0.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY/BURGUNDY (57625),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN/BROWN (57646),,,,,1,,,,,1,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,,,0,,,,,,,,,,,,,,,,,
,,WEB,2,,2,0,1,,2,2,9,,,,,,,,,,,,,,,,,
,Total,,4,,4,3,3,,4,4,22,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Renzo,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7486,,,,,,,,,,0.00,60.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57709),WEB,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
,NAVY/GREY (57751),WEB,2,,1,2,2,,2,2,11,,,,,,,,,,,,,,,,,
,TAN (57730),WEB,2,,2,1,1,,1,2,9,,,,,,,,,,,,,,,,,
,Total,,6,,5,5,4,,5,6,31,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC Watson,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7457,,,,,,,,,,0.00,80.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,TAN (57940),WEB,2,,2,1,1,,2,1,9,,,,,,,,,,,,,,,,,
,Total,,2,,2,1,1,,2,1,9,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
LC-Jones,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7479,,,,,,,,,,26.00,60.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,NAVY (57403),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (57382),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,4,,4,4,4,,4,4,24,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Mario,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR-7476,,,,,,,,,,26.00,70.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57172),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,NAVY (57151),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (57193),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,6,,6,6,6,,6,6,36,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Morrison,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR-7460,,,,,,,,,,28.90,75.00
,,,14,,7,8,9,,10,11,12,,13,,Total,,,,,,,,,,,,,
,BLACK (57004),WEB,,,2,2,2,,2,2,2,,,,12,,,,,,,,,,,,,
,BROWN (57025),WEB,,,2,2,2,,2,2,2,,,,12,,,,,,,,,,,,,
,BURGANDY (57046),WEB,1,,2,2,2,,2,2,2,,2,,15,,,,,,,,,,,,,
,TAN (57067),WEB,1,,2,2,2,,2,2,2,,2,,15,,,,,,,,,,,,,
,Total,,2,,8,8,8,,8,8,8,,4,,54,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Rambla,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7403,,,,,,,,,,26.00,70.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57256),WEB,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,1,,2,2,11,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Rambla II,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7532,,,,,,,,,,26.00,80.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57214),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,TAN (57235),WEB,2,,2,2,2,,2,2,12,,,,,,,,,,,,,,,,,
,Total,,4,,4,4,4,,4,4,24,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Snowden,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR6888,,,,,,,,,,26.00,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,BLACK (57277),WEB,1,,1,1,1,,1,2,7,,,,,,,,,,,,,,,,,
,TAN (57298),WEB,2,,1,1,2,,2,2,10,,,,,,,,,,,,,,,,,
,Total,,3,,2,2,3,,3,4,17,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
Spencer,,,,MENS SHOES,,,,SHOES,,,,NO SEASON,,,,,FR7443,,,,,,,,,,26.90,65.00
,,,7,,8,9,10,,11,12,Total,,,,,,,,,,,,,,,,,
,TAN/NAVY (56941),WEB,2,,2,0,1,,2,2,9,,,,,,,,,,,,,,,,,
,Total,,2,,2,0,1,,2,2,9,,,,,,,,,,,,,,,,,
FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,Total Stock 586,,
GABICCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
